run_id,status,best_val_loss,history_length,units,num_layers,dropout,batch_size,learning_rate,weight_decay
0001,failed,,32,128,4,0.2,128,0.0004,0.0
0002,failed,,32,128,4,0.2,128,0.0004,0.002
0003,failed,,32,128,4,0.2,128,0.0004,0.004
0004,failed,,32,128,4,0.2,128,0.0004,0.006
0005,failed,,32,128,4,0.2,128,0.0004,0.008
0006,failed,,32,128,4,0.2,128,0.0004,0.01
0007,failed,,32,256,4,0.2,128,0.0004,0.0
0008,failed,,32,256,4,0.2,128,0.0004,0.002
0009,failed,,32,256,4,0.2,128,0.0004,0.004
0010,failed,,32,256,4,0.2,128,0.0004,0.006
0011,failed,,32,256,4,0.2,128,0.0004,0.008
0012,failed,,32,256,4,0.2,128,0.0004,0.01
0013,failed,,32,384,4,0.2,128,0.0004,0.0
0014,failed,,32,384,4,0.2,128,0.0004,0.002
0015,failed,,32,384,4,0.2,128,0.0004,0.004
0016,failed,,32,384,4,0.2,128,0.0004,0.006
0017,failed,,32,384,4,0.2,128,0.0004,0.008
0018,failed,,32,384,4,0.2,128,0.0004,0.01
0019,failed,,32,512,4,0.2,128,0.0004,0.0
0020,failed,,32,512,4,0.2,128,0.0004,0.002
0021,failed,,32,512,4,0.2,128,0.0004,0.004
0022,failed,,32,512,4,0.2,128,0.0004,0.006
0023,failed,,32,512,4,0.2,128,0.0004,0.008
0024,failed,,32,512,4,0.2,128,0.0004,0.01
0025,failed,,32,640,4,0.2,128,0.0004,0.0
0026,failed,,32,640,4,0.2,128,0.0004,0.002
0027,failed,,32,640,4,0.2,128,0.0004,0.004
0028,failed,,32,640,4,0.2,128,0.0004,0.006
0029,failed,,32,640,4,0.2,128,0.0004,0.008
0030,failed,,32,640,4,0.2,128,0.0004,0.01
0031,failed,,32,768,4,0.2,128,0.0004,0.0
0032,failed,,32,768,4,0.2,128,0.0004,0.002
0033,failed,,32,768,4,0.2,128,0.0004,0.004
0034,failed,,32,768,4,0.2,128,0.0004,0.006
0035,failed,,32,768,4,0.2,128,0.0004,0.008
0036,failed,,32,768,4,0.2,128,0.0004,0.01
0037,failed,,32,896,4,0.2,128,0.0004,0.0
0038,failed,,32,896,4,0.2,128,0.0004,0.002
0041,success,0.566063,64,192,8,0.3,192,0.0006,0.0,,
